house_id,coordinates_lat,coordinates_lng,date,trap_type,trap_location,any_meassures,adult_house,kids_house,young_kids_house,adult_room,kids_room,young_kids_room,sleep_outdoors,cook,gambiae_count,funestus_count,funestus_parensis,funestus_funestus,funestus_leesoni,gambiae_arabiensis,gambiae_quadrianulatus,gambiae_merus
6072-018,-25.1577831,32.48766985,4/27/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6002-114,-24.80188762,32.85336648,5/16/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6001-168,-24.8125154,32.86495288,1/8/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6018-037,-24.89443953,32.3536204,6/16/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6018-022,-24.8898286,32.34279162,5/23/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6018-069,-24.89720868,32.35315306,11/16/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6044-431,-25.03360727,32.63785163,4/20/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-030,-24.56604142,32.66596461,7/5/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
3605-214,-25.0522944,32.78612558,12/6/16,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6078-018,-24.48713783,32.10742024,10/31/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6001-015,-24.81104735,32.86635418,4/4/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-031,-24.56781579,32.66524393,8/2/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-065,-24.90102303,32.35211964,4/14/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6078-003,-24.49127537,32.1173647,7/13/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
